GEOID,NAME,total,hisp,white,black,amind_aknat,asian,nathw_pacis,other_race,multi_race,pop_over18,pop_under18,total_housing,occupied_housing,jobs_rac,jobs_rac_low,jobs_rac_mid,jobs_rac_hi,jobs_wac,jobs_wac_low,jobs_wac_mid,jobs_wac_hi
511319303011063,"Block 1063, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
511319303011064,"Block 1064, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",27,0,25,1,0,1,0,0,0,22,5,14,13,16,3,6,7,7,3,3,1
511319303011065,"Block 1065, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011067,"Block 1067, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011068,"Block 1068, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",8,0,1,7,0,0,0,0,0,1,7,10,10,7,1,6,0,0,0,0,0
511319303012001,"Block 2001, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303012002,"Block 2002, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303012004,"Block 2004, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",7,1,6,0,0,0,0,0,0,7,0,3,0,1,0,0,1,0,0,0,0
511319303012005,"Block 2005, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",4,0,4,0,0,0,0,0,0,4,0,7,6,2,0,0,2,2,1,1,0
511319303012006,"Block 2006, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",27,1,8,18,0,0,0,0,0,24,3,27,23,10,1,7,2,1,0,1,0
511319303012008,"Block 2008, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303012009,"Block 2009, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",4,0,4,0,0,0,0,0,0,4,0,7,0,3,2,0,1,0,0,0,0
511319303012010,"Block 2010, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",11,0,10,0,0,0,0,1,0,11,0,9,1,3,1,0,2,7,2,1,4
511319303012011,"Block 2011, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",11,0,9,2,0,0,0,0,0,11,0,16,11,3,0,1,2,4,0,3,1
511319303012013,"Block 2013, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",32,0,28,0,0,3,0,0,1,31,1,28,22,21,1,9,11,47,28,14,5
511319303012014,"Block 2014, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,0,9,5,0,0,0,0,0,11,3,17,12,7,1,4,2,0,0,0,0
511319303012016,"Block 2016, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",18,0,16,0,0,0,0,0,2,14,4,20,13,10,2,3,5,54,30,17,7
511319303012017,"Block 2017, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",13,0,5,8,0,0,0,0,0,13,0,7,7,7,1,3,3,0,0,0,0
511319303012018,"Block 2018, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",5,3,0,2,0,0,0,0,0,5,0,7,7,8,0,3,5,0,0,0,0
511319303012019,"Block 2019, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",13,0,8,5,0,0,0,0,0,13,0,20,3,5,1,2,2,0,0,0,0
511319303012021,"Block 2021, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",6,2,0,4,0,0,0,0,0,4,2,10,4,4,0,3,1,1,0,0,1
511319303012022,"Block 2022, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",19,0,9,9,0,0,0,0,1,14,5,10,6,4,0,1,3,3,2,0,1
511319303012023,"Block 2023, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,6,0,4,0,0,0,0,4,14,0,7,3,6,0,2,4,0,0,0,0
511319303012024,"Block 2024, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,0,14,0,0,0,0,0,0,14,0,17,0,6,0,2,4,0,0,0,0
511319303012025,"Block 2025, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",10,0,6,0,0,0,0,0,4,6,4,4,4,5,0,3,2,0,0,0,0
