GEOID,NAME,totpop_est,totpop_moe,whitepop_est,whitepop_moe,whiteper_est,whiteper_moe,blackpop_est,blackpop_moe,blackper_est,blackper_moe,ltnxpop_est,ltnxpop_moe,ltnxper_est,ltnxper_moe,remainpop_est,remainpop_moe,remainper_est,remainper_moe,age17pop_est,age17pop_moe,age17per_est,age17per_moe,age65pop_est,age65pop_moe,age65per_est,age65per_moe,onlinehh_est,onlinehh_moe,onlineper_est,onlineper_moe,tothh_est,tothh_moe,ownhh_est,ownhh_moe,ownhhper_est,ownhhper_moe,renthh_est,renthh_moe,renthhper_est,renthhper_moe,medhhinc_est,medhhinc_moe,medrent_est,medrent_moe,medhome_est,medhome_moe,jobs_total_w,jobs_lowage_w,percent_lowage_w,jobs_total_h,jobs_lowage_h,percent_lowage_h
511319301002,"Block Group 2, Census Tract 9301, Northampton County, Virginia",1479,373,387,97,26.17,9.3,787,210,53.21,4.64,138,192,9.33,12.77,167,114.27598172844546,11.29,7.18,250,101.67595585978034,16.9,5.39,470,144.45760623795482,31.78,5.58,453,155,77.44,17.08,585,153,306,80,52.31,19.34,279,146,47.69,21.62,55250,25320,730,322,140000,54237,537,139,25.884543761638735,449,123,27.39420935412027
511319301003,"Block Group 3, Census Tract 9301, Northampton County, Virginia",1134,300,616,193,54.32,9.12,464,221,40.92,16.21,41,60,3.62,5.2,13,25.553864678361276,1.15,2.23,338,122.09422590769803,29.81,7.33,159,61.78996682310163,14.02,3.99,385,97,88.71,9.91,434,98,255,78,58.76,12.12,179,66,41.24,12.02,40750,4237,924,154,139500,22995,518,175,33.78378378378378,354,120,33.89830508474576
511319301004,"Block Group 4, Census Tract 9301, Northampton County, Virginia",1033,307,445,171,43.08,10.49,318,130,30.78,8.64,211,168,20.43,15.09,59,53.16013544000805,5.71,4.86,203,78.14089838234521,19.65,4.81,187,63.095166217389426,18.1,2.89,402,132,83.75,14.76,480,133,268,109,55.83,16.62,212,72,44.17,8.67,47717,27449,300,57,104100,23576,304,87,28.618421052631575,492,139,28.252032520325205
511319302001,"Block Group 1, Census Tract 9302, Northampton County, Virginia",880,241,629,217,71.48,15,164,93,18.64,9.25,83,116,9.43,12.93,4,14.7648230602334,0.45,1.67,181,75.37904218017101,20.57,6.45,288,106.3766891757776,32.73,8.11,266,83,68.73,8.85,387,110,299,94,77.26,10.38,88,74,22.74,18,NA,NA,NA,NA,337700,35296,171,53,30.994152046783626,283,74,26.148409893992934
511319302002,"Block Group 2, Census Tract 9302, Northampton County, Virginia",667,256,313,128,46.93,6.62,266,186,39.88,23.31,47,79,7.05,11.53,41,54.57105459856901,6.15,7.83,170,113.08403954581743,25.49,13.85,192,74.29670248402684,28.79,1.42,241,89,88.28,9.96,273,96,217,81,79.49,9.95,56,50,20.51,16.83,59911,37287,NA,NA,371200,149203,435,124,28.50574712643678,350,98,28.000000000000004
511319302003,"Block Group 3, Census Tract 9302, Northampton County, Virginia",1142,398,596,209,52.19,2.03,307,201,26.88,14.9,217,235,19,19.48,22,29.9833287011299,1.93,2.54,250,128.6506898543494,21.89,8.29,153,73.49149610669251,13.4,4.43,337,113,76.07,9,443,139,258,99,58.24,12.86,185,103,41.76,19.21,73675,11471,681,612,248300,82095,171,18,10.526315789473683,361,101,27.977839335180054
511319302004,"Block Group 4, Census Tract 9302, Northampton County, Virginia",960,211,401,153,41.77,13.03,525,188,54.69,15.46,34,50,3.54,5.15,0,13,0,1.35,264,104.80458005259122,27.5,9.09,276,109.86355173577815,28.75,9.54,357,98,85.61,7.18,417,109,306,92,73.38,10.9,111,82,26.62,18.39,58295,17579,733,173,111200,18059,258,98,37.98449612403101,303,81,26.732673267326735
511319303011,"Block Group 1, Census Tract 9303.01, Northampton County, Virginia",1272,281,580,150,45.6,6.13,561,247,44.1,16.8,52,51,4.09,3.91,79,68.24954212300622,6.21,5.19,246,111.28791488746656,19.34,7.63,399,129.68423188653276,31.37,7.48,414,121,76.38,14.89,542,118,323,75,59.59,4.81,219,94,40.41,14.95,40833,12123,828,162,137500,63238,243,75,30.864197530864196,533,166,31.144465290806757
511319303012,"Block Group 2, Census Tract 9303.01, Northampton County, Virginia",724,187,555,135,76.66,27.2,127,107,17.54,14.07,1,3,0.14,0.41,41,40.47221268969612,5.66,5.4,130,75.37904218017101,17.96,9.32,242,79,33.43,6.67,304,58,80.85,24.25,376,87,191,47,50.8,4.25,185,74,49.2,16.05,46786,22040,934,164,384000,38380,379,181,47.75725593667546,345,105,30.434782608695656
511319303013,"Block Group 3, Census Tract 9303.01, Northampton County, Virginia",666,169,527,126,79.13,27.59,52,34,7.81,4.7,53,69,7.96,10.16,34,41.54515615568198,5.11,6.1,69,45.32107677449864,10.36,6.28,221,57.86190456595773,33.18,2.14,278,63,86.88,7.53,320,67,223,57,69.69,10.22,97,38,30.31,10.04,49000,38980,330,86,335300,40470,202,63,31.18811881188119,282,83,29.432624113475175
511319303021,"Block Group 1, Census Tract 9303.02, Northampton County, Virginia",792,266,585,242,73.86,17.84,184,115,23.23,12.25,23,39,2.9,4.83,0,13,0,1.64,73,62.056425936400814,9.22,7.2,193,105.08092119885512,24.37,10.44,279,122,71.72,18.84,389,136,151,79,38.82,15.11,238,124,61.18,23.63,44816,7498,685,56,183100,16655,120,66,55.00000000000001,471,152,32.27176220806794
511319303022,"Block Group 2, Census Tract 9303.02, Northampton County, Virginia",925,288,600,184,64.86,28.35,89,102,9.62,10.61,231,192,24.97,19.25,5,19.849433241279208,0.54,2.14,161,77.82030583337487,17.41,6.44,309,109.2520022699813,33.41,5.6,319,101,93.55,11.17,341,100,272,77,79.77,32.51,69,70,20.23,19.65,55144,35199,NA,NA,222200,96531,254,46,18.11023622047244,422,138,32.70142180094787
511319901000,"Block Group 0, Census Tract 9901, Northampton County, Virginia",0,13,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,0,13,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
